RIC,Name,Last,Net,%Ch,PDClose,Ccy,Price Close 30/08/20,Historic P/E,P/E (Daily Time Series Ratio),"AVG(TR.Volume(SDate=0D,EDate=0D-29D))/*AVG VOLUME LAST 30 DAYS*//*AVG VOLUME LAST 30 DAYS*/","AVG(TR.Volume(SDate=0D,EDate=0D-249D))/*AVG VOLUME LAST 12 MONTHS*/"
MMM.N,3M COMPANY/d,162.86,1.15,0.7111,161.71,USD,176.42,21.87746561,18.33211845,674950,981180.008
ABB.N,ABB LTD/d,26.01,0.17,0.6579,25.84,USD,24.09,41.25871387,38.85714286,315843.3333,380901.808
ABT.N,ABBOTT LABS/d,101.31,-1.09,-1.0645,102.4,USD,86.86,53.58612704,59.23423554,1170796.8,1750425.256
ABBV.N,ABBVIE/d,94.3,-0.56,-0.5903,94.86,USD,88.54,17.24351578,20.86761406,1539563.933,2392244.724
ACN.N,ACCENTURE PLC/d,236.14,-1.35,-0.5684,237.49,USD,210.57,17.82807534,30.9364701,517323.3333,739396.432
APD.N,AIR PRODS & CH/d,287.33,0.89,0.3107,286.44,USD,234.99,27.59570972,33.20519895,330257.3,353898.064
BABA.N,ALIBABA GRP AD/d,275.02,9.22,3.4688,265.8,USD,212.1,43.72578436,28.03141453,2756309.533,3537236.128
MO.N,ALTRIA GROUP/d,44.22,0.76,1.7487,43.46,USD,49.91,9.285566176,,1461056.033,2545414.376
AXP.N,AMER EXPRESS C/d,99.01,2.86,2.9745,96.15,USD,124.49,13.18827653,19.9099239,823684.7,1110728.86
AMT.N,AMER TOWER CP/d,244.79,-4.55,-1.8248,249.34,USD,229.82,53.41636255,57.83379568,409467.7333,575017.476
BUD.N,ANHEUSER-BUSCH/d,57.085,1.465,2.6339,55.62,USD,82.04,155.1112876,,316994.7667,366689.296
ANTM.N,ANTHEM INC/d,278.8,-5.83,-2.0483,284.63,USD,302.03,15.60642754,12.36284917,269204.7667,395742.06
AZN.N,ASTRAZENECA/d,56.82,1.11,1.9925,55.71,USD,49.86,19.76973898,68.09972313,827497.7667,593542.836
T.N,AT&T/d,29.965,0.275,0.9262,29.69,USD,39.08,20.26473279,18.12919417,6961683.667,9354214.816
BAC.N,BANK OF AMERIC/d,25.515,0.535,2.1417,24.98,USD,35.22,14.85005476,12.00171041,10223356.8,13548750.23
BDX.N,BECTON DICKINS/d,255.32,-2.4,-0.9312,257.72,USD,271.97,40.05919837,90.75830302,310450.3333,424171.776
BRKa.N,BERKSHRE CL A/d,318861.99,7735.99,2.4864,311126,USD,339590,16.66912216,22.72549271,139.1333333,147.392
BRKb.N,BERKSHRE CL B/d,212.49,5.06,2.4394,207.43,USD,226.5,16.66912216,22.72549271,1387724.633,1766614.772
BBL.N,BHP GROUP PLC/d,45.48,0.37,0.8202,45.11,USD,47.01,12.29358998,12.09603896,203558.7667,313341.548
BHP.N,BHP GRP LIMITE/d,55.02,0.51,0.9356,54.51,USD,54.71,14.31132741,17.36573493,315125,351566.144
BLK.N,BLACKROCK INC/d,588.36,4.32,0.7397,584.04,USD,502.7,20.00954889,20.56249355,143941.4,247016.476
BX.N,BLACKSTONE/d,53.3,0.33,0.623,52.97,USD,55.94,17.30152533,48.30869411,523926.4667,1415917.904
BA.N,BOEING CO/d,176.53,9.03,5.391,167.5,USD,325.76,19.89088633,,2988454.867,2806966.744
BSX.N,BOSTON SCIEN C/d,38.8,0.37,0.9628,38.43,USD,45.22,85.84695984,,1755858.467,2112627.612
BP.N,BP PLC ADR/d,21.845,0.385,1.794,21.46,USD,37.74,1029.752066,,1648495.5,1734620.784
BMY.N,BRISTOL MYERS /d,62.16,-0.03,-0.0482,62.19,USD,64.19,22.02805901,,2208314.7,3799828.208
BTI.N,BRIT AMR TOBAC/d,34.74,0.92,2.7203,33.82,USD,42.46,18.32391248,9.459963247,373095.5333,343854.64
CAT.N,CATERPILLAR IN/d,140.67,2.24,1.6181,138.43,USD,147.68,,18.64444902,692791.7333,958577.524
CNI.N,CDN NATL RR/d,105.73,-0.09,-0.0851,105.82,USD,90.45,19.37685435,28.70780897,265492.2,255359.3
CVX.N,CHEVRON/d,86.75,1.67,1.9629,85.08,USD,120.51,,,1888772.667,2514728.808
LFC.N,CHINA LIFE IN /d,12.2,0.07,0.5771,12.13,USD,13.83,26.40907036,8.138350685,183774.4,161416.212
CHL.N,CHINA MOBILE/d,37.9,0.32,0.8515,37.58,USD,42.27,13.70875105,10.01121296,239821.8667,322885.024
SNP.N,CHINA PETROLEU/d,45.87,0.72,1.5947,45.15,USD,60.15,12.79130094,16.56114449,35406.73333,58160.916
CB.N,CHUBB LIMITED/d,123.71,1.79,1.4682,121.92,USD,155.66,14.88785094,25.53036442,417786,550594.364
CI.N,CIGNA CORP/d,176.91,-1.39,-0.7796,178.3,USD,204.49,18.55078833,12.68724899,421355.9667,536986.044
C.N,CITIGROUP/d,50.55,1.25,2.5355,49.3,USD,79.89,12.53115393,8.506702695,3560923.4,5273018.064
KO.N,COCA-COLA CO/d,47.85,0.57,1.2056,47.28,USD,55.35,27.73949231,22.23622699,3780505.033,4484387.6
CL.N,COLGATE PALMOL/d,78.94,0.25,0.3177,78.69,USD,68.84,24.08494507,26.28651601,917422.5333,1228400.14
CCI.N,CROWN CASTLE/d,160.45,-2.72,-1.667,163.17,USD,142.15,91.29551887,94.38993914,486544.1667,583410.848
CVS.N,CVS HEALTH CRP/d,63.68,-0.26,-0.4066,63.94,USD,74.29,16.08917452,10.14746678,1337280.6,1882021.744
DHR.N,DANAHER/d,205.32,-2.48,-1.1935,207.8,USD,153.48,25.27486087,53.51904459,497838.0333,1090792.344
DE.N,DEERE & CO/d,205.15,5.65,2.8321,199.5,USD,173.26,18.35331482,23.1833331,340301.9333,489102.976
