RIC,Name,Last,Net,%Ch,PDClose,Ccy,Historic_PE,PE_Daily_Time_Series_Ratio,Price Close 31/12/20
ATVI.OQ,ACTIVISIN BLIZ/d,82.2,-1.01,-1.2138,83.21,USD,28.30247833,35.51808772,59.42
ADBE.OQ,ADOBE INC/d,473.51,0.29,0.0613,473.22,USD,43.03084172,62.34741537,329.81
AMD.OQ,ADV MICRO DEVI/d,82.64,-1.17,-1.396,83.81,USD,,166.557364,45.86
ALXN.OQ,ALEXION PHARM/d,102.57,2.06,2.0495,100.51,USD,69.32364823,26.92804364,108.15
ALGN.OQ,ALIGN TECH INC/d,296.325,2.035,0.6915,294.29,USD,41.29579353,13.68163888,279.04
GOOGL.OQ,ALPHABET INC A/d,1578.22,2.65,0.1682,1575.57,USD,28.42640504,35.63344886,1339.39
GOOG.OQ,ALPHABET INC C/d,1584.28,3.86,0.2442,1580.42,USD,28.42640504,35.63344886,1337.02
AMZN.OQ,AMAZON COM/d,3286.1,1.38,0.042,3284.72,USD,153.0734308,126.2582214,1847.84
AMGN.OQ,AMGEN/d,234.66,-2.98,-1.254,237.64,USD,14.27639635,19.41550855,241.07
ADI.OQ,ANALOG DEVICES/d,116.35,0.33,0.2844,116.02,USD,23.02629194,38.83436651,118.84
ANSS.OQ,ANSYS INC/d,323.6,-0.9,-0.2773,324.5,USD,30.97755643,70.7267528,257.41
AMAT.OQ,APPLIED MATL/d,63.17,0.9,1.4453,62.27,USD,18.58492585,18.08644432,61.04
ASML.OQ,ASML HOLDING D/d,374.87,2.75,0.739,372.12,USD,29.30168274,45.70210604,295.94
TEAM.OQ,ATLASSIAN CORP/d,168.93,2.29,1.3742,166.64,USD,,,120.34
ADSK.OQ,AUTODESK INC/d,250.08,1.81,0.729,248.27,USD,,175.586124,183.46
